country,indicator,value,year
Burkina Faso,Sex Worker Size Estimate,1073,2014
Cameroon,Sex Worker Size Estimate,38582,2013
Côte d'Ivoire,Sex Worker Size Estimate,9211,2014
Mauritania,Sex Worker Size Estimate,315,2014
Niger,Sex Worker Size Estimate,39550,2014
Togo,Sex Worker Size Estimate,6292,2014
Burkina Faso,MSM Size Estimate,673,2014
Cameroon,MSM Size Estimate,28598,2013
Côte d'Ivoire,MSM Size Estimate,1343,2014
Mauritania,MSM Size Estimate,160,2012
Niger,MSM Size Estimate,10937,2014
Togo,MSM Size Estimate,7766,2014
