"","country","region","lon","lat"
"1","benin","benin",2.315834,9.30769
"2","burkina faso","burkina faso",-1.561593,12.238333
"3","cameroon","cameroon",12.354722,7.369722
"4","côte d'ivoire","ivory coast",-5.54708,7.539989
"5","gambia","gambia",-15.310139,13.443182
"6","ghana","ghana",-1.023194,7.946527
"7","guinea","guinea",-9.696645,9.945587
"8","guinea-bissau","guinea bissau",-15.180413,11.803749
"9","liberia","liberia",-9.429499,6.428055
"10","mali","mali",-3.996166,17.570692
"11","mauritania","mauritania",-10.940835,21.00789
"12","niger","niger",8.081666,17.607789
"13","nigeria","nigeria",8.675277,9.081999
"14","senegal","senegal",-14.452362,14.497401
"15","sierra leone","sierra leone",-11.779889,8.460555
"16","togo","togo",0.824782,8.619543
